date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:22:40	89/89	---M-Z	200	added ('OK')	text/plain	etag:%22efa8681ba749d1134d9de357bf43700c%22	https://krow.com.tr/robots.txt		(from )
09:22:40	1705494/1705494	---M-Z	200	added ('OK')	text/html	etag:%222b4d8d319421251d82b5c82c001dfc8d%22	https://krow.com.tr/	D:/happencode/krow-mirror/krow.com.tr/index.html	(from )
09:22:41	41714/41714	---MCZ	200	added ('OK')	application/javascript	etag:%2273daad4953f9609a9f505ced27eb4b8f%22	https://static.elfsight.com/platform/platform.js	D:/happencode/krow-mirror/static.elfsight.com/platform/platform.js	(from https://krow.com.tr/)
09:22:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2017%20Jan%202026%2006:22:40%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/happencode/krow-mirror/www.googletagmanager.com/gtm.15445.delayed	(from https://krow.com.tr/)
09:22:41	352623/352623	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2017%20Jan%202026%2006:22:40%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/happencode/krow-mirror/connect.facebook.net/en_US/fbevents.js	(from https://krow.com.tr/)
09:22:42	2747/2747	---MC-	200	added ('OK')	image/png	etag:%228964aeffe55c94e809d544572e0d229e%22	https://framerusercontent.com/images/lKcBBER7krFZ6SEFCB7Ki3IG3g.png	D:/happencode/krow-mirror/framerusercontent.com/images/lKcBBER7krFZ6SEFCB7Ki3IG3g.png	(from https://krow.com.tr/)
09:22:43	1689483/1689483	---M-Z	200	added ('OK')	text/html	etag:%2208c6ea0139ebde660e92706ed3622500%22	https://krow.com.tr/en/	D:/happencode/krow-mirror/krow.com.tr/en/index.html	(from https://krow.com.tr/)
09:22:43	670879/670879	---M-Z	200	added ('OK')	text/html	etag:%220ae4e1c63516491514cbc0a5d06cf746%22	https://krow.com.tr/neden-krow	D:/happencode/krow-mirror/krow.com.tr/neden-krow.html	(from https://krow.com.tr/)
09:22:44	597449/597449	---M-Z	200	added ('OK')	text/html	etag:%2268dfed1e97712a029cd2b48e94c85491%22	https://krow.com.tr/ozellikler	D:/happencode/krow-mirror/krow.com.tr/ozellikler.html	(from https://krow.com.tr/)
09:22:44	580810/580810	---M-Z	200	added ('OK')	text/html	etag:%22a553c6cf714a3bf29bf829992fc761bf%22	https://krow.com.tr/blog	D:/happencode/krow-mirror/krow.com.tr/blog.html	(from https://krow.com.tr/)
09:22:45	610497/610497	---M-Z	200	added ('OK')	text/html	etag:%22a040bcc0979f79e024a385bd9f1a8426%22	https://krow.com.tr/paketler/lgs/yillik	D:/happencode/krow-mirror/krow.com.tr/paketler/lgs/yillik.html	(from https://krow.com.tr/)
09:22:46	699373/699373	---M-Z	200	added ('OK')	text/html	etag:%223fccfe33b69421c094fb72309aea2aa5%22	https://krow.com.tr/sinavlar/lgs	D:/happencode/krow-mirror/krow.com.tr/sinavlar/lgs.html	(from https://krow.com.tr/)
09:22:46	922083/922083	---M-Z	200	added ('OK')	text/html	etag:%2261e098ed66a85b34dc67fd9dbbc3aafd%22	https://krow.com.tr/sinavlar/yks	D:/happencode/krow-mirror/krow.com.tr/sinavlar/yks.html	(from https://krow.com.tr/)
09:22:47	967987/967987	---M-Z	200	added ('OK')	text/html	etag:%228f395c45c958fdd0b46fc0cbcbdc6710%22	https://krow.com.tr/sinavlar/kpss	D:/happencode/krow-mirror/krow.com.tr/sinavlar/kpss.html	(from https://krow.com.tr/)
09:22:48	147497/147497	---MC-	200	added ('OK')	image/png	etag:%22dcb5dcd9ea1cee807f847dff09673254%22	https://framerusercontent.com/images/TxEcqQ7qYGcUjerfeMjOn2UGQk.png?width=1600&height=2000	D:/happencode/krow-mirror/framerusercontent.com/images/TxEcqQ7qYGcUjerfeMjOn2UGQkc6f3.png	(from https://krow.com.tr/)
09:22:48	76904/76904	---MC-	200	added ('OK')	image/png	etag:%227a1bc9eefe4054e5420a4fe412211b3e%22	https://framerusercontent.com/images/yohlI48inCbvPSptqISh0PHpjI.png?width=879&height=654	D:/happencode/krow-mirror/framerusercontent.com/images/yohlI48inCbvPSptqISh0PHpjI709f.png	(from https://krow.com.tr/)
09:22:49	611474/611474	---M-Z	200	added ('OK')	text/html	etag:%2242425caf7ea04183557a72e72811c3c4%22	https://krow.com.tr/paketler/yks/yillik	D:/happencode/krow-mirror/krow.com.tr/paketler/yks/yillik.html	(from https://krow.com.tr/)
09:22:49	699828/699828	---M-Z	200	added ('OK')	text/html	etag:%2270831dd38198dc4e52a6e48944240a57%22	https://krow.com.tr/biz-kimiz	D:/happencode/krow-mirror/krow.com.tr/biz-kimiz.html	(from https://krow.com.tr/)
09:22:50	585861/585861	---M-Z	200	added ('OK')	text/html	etag:%223d6c9deeb25fddf7ce008c0442cd473e%22	https://krow.com.tr/bize-ulas	D:/happencode/krow-mirror/krow.com.tr/bize-ulas.html	(from https://krow.com.tr/)
09:22:51	592645/592645	---M-Z	200	added ('OK')	text/html	etag:%22b84e5f615f47c428a57fe47957082899%22	https://krow.com.tr/biz-kimiz/bize-katil	D:/happencode/krow-mirror/krow.com.tr/biz-kimiz/bize-katil.html	(from https://krow.com.tr/)
09:22:51	546296/546296	---M-Z	200	added ('OK')	text/html	etag:%225ec21aea20a161473a25ecfb2d6acc0c%22	https://krow.com.tr/sikca-sorulan-sorular	D:/happencode/krow-mirror/krow.com.tr/sikca-sorulan-sorular.html	(from https://krow.com.tr/)
09:22:52	804917/804917	---M-Z	200	added ('OK')	text/html	etag:%22c6c94cb78e1a01690aa3a46e7de2dc31%22	https://krow.com.tr/sinavlar/ags	D:/happencode/krow-mirror/krow.com.tr/sinavlar/ags.html	(from https://krow.com.tr/)
09:22:52	470574/470574	---M-Z	200	added ('OK')	text/html	etag:%22a0cc187b8b9750d44fabc2e83fabe893%22	https://krow.com.tr/gizlilik-politikasi	D:/happencode/krow-mirror/krow.com.tr/gizlilik-politikasi.html	(from https://krow.com.tr/)
09:22:53	454819/454819	---M-Z	200	added ('OK')	text/html	etag:%225a599e0453b25864269f6f7e8c7baa07%22	https://krow.com.tr/cerez-politikasi	D:/happencode/krow-mirror/krow.com.tr/cerez-politikasi.html	(from https://krow.com.tr/)
